Entity,,Year,Annual CO₂ emissions (tonnes ),
Hong Kong,,2005,43731327.3,
Hungary,,2000,58551660.6,
Hungary,,2001,60171658.8,
Hungary,,2002,59162844.4,
Hungary,,2003,61936783,
Hungary,,2004,60406241.1,
Hungary,,2005,60499964.5,
Iceland,,2000,2933983.78,
Iceland,,2001,2862684.17,
Iceland,,2002,2987901.53,
Iceland,,2003,2979691.74,
Iceland,,2004,3101239.5,
Iceland,,2005,2968905.33,
India,,2000,1029637759,
India,,2001,1035640714,
India,,2002,1047595651,
India,,2003,1091873009,
India,,2004,1145545234,
India,,2005,1210145667,
Indonesia,,2000,265983184,
Indonesia,,2001,297770560,
Indonesia,,2002,307578168,
Indonesia,,2003,316854168,
Indonesia,,2004,340076520,
Indonesia,,2005,343579936,
International transport,,2000,788039118,
International transport,,2001,784340432,
International transport,,2002,803239388,
International transport,,2003,839092771,
International transport,,2004,910479076,
International transport,,2005,948914696,
Iran,,2000,369263500,
Iran,,2001,394931363,
Iran,,2002,397798325,
Iran,,2003,413993478,
Iran,,2004,442089694,
Iran,,2005,463529961,
Iraq,,2000,71715411.9,
Iraq,,2001,84555922.4,
Iraq,,2002,86320877.3,
Iraq,,2003,90786641.5,
Iraq,,2004,113635003,
Iraq,,2005,112980382,
Ireland,,2000,45193952.6,
Ireland,,2001,47557354.2,
Ireland,,2002,46034585.9,
Ireland,,2003,45639123.4,
Ireland,,2004,46129741.1,
Ireland,,2005,48104566.6,
Israel,,2000,59519380.4,
Israel,,2001,63022354.1,
Israel,,2002,59299733.7,
Israel,,2003,62414677.8,
Israel,,2004,58679118.7,
Israel,,2005,56524006.1,
Italy,,2000,470767747,
Italy,,2001,476201869,
Italy,,2002,477709339,
Italy,,2003,491480724,
Italy,,2004,495527786,
Italy,,2005,495234015,
Jamaica,,2000,10313989.7,
Jamaica,,2001,10576527,
Jamaica,,2002,10202488.8,
Jamaica,,2003,10666973.6,
Jamaica,,2004,10574223.3,
Jamaica,,2005,10350586.9,
Japan,,2000,1262734462,
Japan,,2001,1248087424,
Japan,,2002,1277236546,
Japan,,2003,1285385412,
Japan,,2004,1280036122,
Japan,,2005,1286856314,
Jordan,,2000,15200037.2,
Jordan,,2001,15610452.1,
Jordan,,2002,16420674,
Jordan,,2003,16982038.2,
Jordan,,2004,18669486.9,
Jordan,,2005,20436098.6,
Kazakhstan,,2000,133538744,
Kazakhstan,,2001,128218685,
Kazakhstan,,2002,146782201,
Kazakhstan,,2003,164319000,
Kazakhstan,,2004,171060079,
Kazakhstan,,2005,184318979,
Kenya,,2000,10301569.8,
Kenya,,2001,9235654.06,
Kenya,,2002,7819596.94,
Kenya,,2003,6585571.86,
Kenya,,2004,7437994,
Kenya,,2005,8338598.93,
Kiribati,,2000,29312,
Kiribati,,2001,25648,
Kiribati,,2002,40304,
Kiribati,,2003,40304,
Kiribati,,2004,43968,
Kiribati,,2005,62288,
Kuwait,,2000,53384077.5,
Kuwait,,2001,57484681.1,
Kuwait,,2002,57979850.5,
Kuwait,,2003,59622934,
Kuwait,,2004,63107931.9,
Kuwait,,2005,71166438.5,
Kyrgyzstan,,2000,4602483.09,
Kyrgyzstan,,2001,3862299.78,
Kyrgyzstan,,2002,4919282.29,
Kyrgyzstan,,2003,5381618.8,
Kyrgyzstan,,2004,5806821.5,
Kyrgyzstan,,2005,5513620.26,
Laos,,2000,928867.76,
Laos,,2001,862750.69,
Laos,,2002,1126516.76,
Laos,,2003,1074062.41,
Laos,,2004,1366750.71,
Laos,,2005,1377311.01,
Latvia,,2000,7099045.69,
Latvia,,2001,7516325.91,
Latvia,,2002,7542934.27,
Latvia,,2003,7740669.66,
Latvia,,2004,7750956.32,
Latvia,,2005,7835154.95,
Lebanon,,2000,15466264,
Lebanon,,2001,16406232.5,
Lebanon,,2002,16244385,
Lebanon,,2003,18527469.1,
Lebanon,,2004,17207687.5,
Lebanon,,2005,16653479.6,
Lesotho,,2000,1850320,
Lesotho,,2001,1875968,
Lesotho,,2002,1905280,
Lesotho,,2003,1930928,
Lesotho,,2004,1982224,
Lesotho,,2005,2011536,
Liberia,,2000,414446.27,
Liberia,,2001,484647.55,
Liberia,,2002,482307.35,
Liberia,,2003,518107.78,
Liberia,,2004,603735.57,
Liberia,,2005,710465.7,
Libya,,2000,46792991.7,
Libya,,2001,47773798,
Libya,,2002,47472203.4,
Libya,,2003,48780984.5,
Libya,,2004,49955833.9,
Libya,,2005,51696285,
Lithuania,,2000,11788024.4,
Lithuania,,2001,12496126.3,
Lithuania,,2002,12602371.8,
Lithuania,,2003,12591879.8,
Lithuania,,2004,13167324.7,
Lithuania,,2005,14089324,
Luxembourg,,2000,8672869.96,
Luxembourg,,2001,9166124.34,
Luxembourg,,2002,9942247.96,
Luxembourg,,2003,10411633.5,
Luxembourg,,2004,11785231.6,
Luxembourg,,2005,12048396.3,
Macao,,2000,1630480,
Macao,,2001,1685440,
Macao,,2002,1516896,
Macao,,2003,1531552,
Macao,,2004,1714752,
Macao,,2005,1828336,
Macedonia,,2000,12054560,
Macedonia,,2001,11988608,
Macedonia,,2002,10926048,
Macedonia,,2003,11299776,
Macedonia,,2004,11182528,
Macedonia,,2005,11270464,
Madagascar,,2000,1867464.39,
Madagascar,,2001,1735477.87,
Madagascar,,2002,1231908.2,
Madagascar,,2003,1680474.06,
